time_at_fix,hardware_id,alias,latitude,longitude,altitude,speed,cog,hdop,vdop,pdop,satellite_count,time_to_fix,fix_quality,error,activity,battery_mv,instantaneous_solar_mv,solar_current_since_last_fix_ma,temperature_c,connect_at,ctt_device_type,position_uncertainty,activity_x,activity_y,activity_z,connection_duration,session_id,fix_method,id
2023-05-11T17:56:30.000Z,3.51359E+14,,39.001019,-74.913734,3,,,,,5.36,,18,,,,4148,,,51,,Flicker-GPS,,0,0,0,,,GPS,98162
2023-05-14T16:44:09.973Z,3.51359E+14,,46.29351,-103.916895,,,,,,,,,,,,4143,568,,21,,Flicker-GPS,3346.324,,,,9562,,SCELL,98162
2023-05-14T16:53:30.000Z,3.51359E+14,,46.104355,-103.839638,878,,,,,1.58,,29,,,,4143,,,29,,Flicker-GPS,,287,169,1068,,,GPS,98162
2023-05-14T17:23:05.000Z,3.51359E+14,,46.104912,-103.836479,887,,,,,1.77,,4,,,,4147,,,41,,Flicker-GPS,,0,0,1,,,GPS,98162
2023-05-14T17:53:02.000Z,3.51359E+14,,46.104816,-103.836349,888,,,,,2.26,,1,,,,4147,,,38,,Flicker-GPS,,0,0,0,,,GPS,98162
2023-05-14T18:23:02.000Z,3.51359E+14,,46.104858,-103.836296,880,,,,,2.78,,1,,,,4148,,,40,,Flicker-GPS,,0,0,0,,,GPS,98162
2023-05-14T18:53:02.000Z,3.51359E+14,,46.104858,-103.836281,888,,,,,3.25,,1,,,,4148,,,40,,Flicker-GPS,,0,0,0,,,GPS,98162
2023-05-14T19:23:02.000Z,3.51359E+14,,46.104805,-103.836189,900,,,,,6.04,,1,,,,4148,,,34,,Flicker-GPS,,0,0,0,,,GPS,98162
2023-05-14T19:53:02.000Z,3.51359E+14,,46.105446,-103.837143,784,,,,,8.71,,1,,,,4150,,,43,,Flicker-GPS,,0,0,0,,,GPS,98162
2023-05-14T20:23:30.000Z,3.51359E+14,,46.106155,-103.844582,879,,,,,1.66,,29,,,,4148,,,28,,Flicker-GPS,,15,1,1,,,GPS,98162
2023-05-14T20:53:02.000Z,3.51359E+14,,46.106224,-103.84465,862,,,,,6.29,,1,,,,4147,,,40,,Flicker-GPS,,35,7,68,,,GPS,98162
2023-05-14T21:23:02.000Z,3.51359E+14,,46.106209,-103.84462,876,,,,,4.11,,1,,,,4150,,,35,,Flicker-GPS,,0,0,0,,,GPS,98162
2023-05-14T21:53:06.000Z,3.51359E+14,,46.106358,-103.844849,868,,,,,4.97,,5,,,,4148,,,29,,Flicker-GPS,,0,0,0,,,GPS,98162
2023-05-14T22:23:23.000Z,3.51359E+14,,46.106239,-103.844681,870,,,,,100,,23,,,,4150,,,22,,Flicker-GPS,,0,3,4,,,GPS,98162
2023-05-14T22:53:07.000Z,3.51359E+14,,46.046585,-103.900047,922,,,,,6.53,,7,,,,4148,,,21,,Flicker-GPS,,0,0,0,,,GPS,98162
2023-05-14T23:23:30.000Z,3.51359E+14,,46.046501,-103.904434,868,,,,,2.76,,30,,,,4148,,,21,,Flicker-GPS,,9,3,7,,,GPS,98162
2023-05-14T23:45:21.976Z,3.51359E+14,,46.292434,-103.936822,,,,,,,,,,,,4144,-26,,26,,Flicker-GPS,3768.908,,,,82492,,SCELL,98162
2023-05-14T23:53:04.000Z,3.51359E+14,,46.04636,-103.904388,851,,,,,1.99,,4,,,,4142,,,22,,Flicker-GPS,,0,0,0,,,GPS,98162
2023-05-15T00:23:04.000Z,3.51359E+14,,46.047649,-103.904541,962,,,,,4.94,,4,,,,4136,,,22,,Flicker-GPS,,0,0,0,,,GPS,98162
2023-05-15T00:53:03.000Z,3.51359E+14,,46.046467,-103.904488,892,,,,,6.34,,3,,,,4137,,,22,,Flicker-GPS,,0,0,0,,,GPS,98162
2023-05-15T01:23:18.000Z,3.51359E+14,,46.046944,-103.903412,1013,,,,,7.57,,18,,,,4137,,,21,,Flicker-GPS,,0,0,0,,,GPS,98162
